Symboling,NormalizedLosses,Make,FuelType,Aspiration,NumOfDoors,BodyStyle,DriveWheels,EngineLocation,WheelBase,Length,Width,Height,CurbWeight,EngineType,NumOfCylinders,EngineSize,FuelSystem,Bore,Stroke,CompressionRatio,Horsepower,PeakRPM,CityMPG,HighwayMPG,Price,id,name,changedOn,changedById,changedByName,deleted
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,829cb080-a046-41cb-ac9e-0fb1e26b7062,mazda gas std hatchback,,,,FALSE
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,3275ed16-b6f4-4ad9-8b2c-a9c91af46447,mazda gas std sedan,,,,FALSE
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,9b07a51b-8972-425e-9e7e-8317b84ca939,mazda gas std hatchback,,,,FALSE
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,2240f33d-9692-46b9-9c75-1453e0544cf5,mazda gas std sedan,,,,FALSE
0,?,mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,206f2dd2-96c0-4dfb-9f61-878eb2d6d13a,mazda diesel std sedan,,,,FALSE
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,516979be-9468-40b5-85e1-3c32f38cc229,mazda gas std hatchback,,,,FALSE
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,61127fc5-4cf2-473c-8451-f25bfb12134a,mazda gas std sedan,,,,FALSE
0,?,mazda,diesel,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,18344,91b48a96-545a-453c-bafa-795020e60ed0,mazda diesel std sedan,,,,FALSE
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,238647e4-ada3-4982-9c1d-d397feb90a61,mercedes-benz diesel turbo sedan,,,,FALSE
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,d12d7690-8531-44c1-8c37-c2db9bf60929,mercedes-benz diesel turbo wagon,,,,FALSE
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,754c67a7-ae35-4e33-bab5-3140348e10a7,mercedes-benz diesel turbo hardtop,,,,FALSE
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,e512a6f4-f5ef-4b31-80e1-2fb6247543fd,mercedes-benz diesel turbo sedan,,,,FALSE
-1,?,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,68278965-ed0e-46db-a6b5-f224c2f730f1,mercedes-benz gas std sedan,,,,FALSE
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,b55cb181-b799-492f-b03e-43f470bf5cc4,mercedes-benz gas std convertible,,,,FALSE
0,?,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,40960,10eb4405-f3bd-4ea3-8dfb-b3ca4e719754,mercedes-benz gas std sedan,,,,FALSE
1,?,mercedes-benz,gas,std,two,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,45400,f1a97d7f-5afd-4516-aae5-3af8abc1eb4e,mercedes-benz gas std hardtop,,,,FALSE
1,?,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503,d465d35c-e0fe-41cb-afd5-a50dcd253070,mercury gas turbo hatchback,,,,FALSE
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,fdf7c1f0-7919-44e3-b13f-b3b07903af3c,mitsubishi gas std hatchback,,,,FALSE
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,fd842277-5c00-44ea-8eb1-1b6913d6eed0,mitsubishi gas std hatchback,,,,FALSE
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,76c391c7-f854-42b4-8fe2-14cf6fc4323a,mitsubishi gas std hatchback,,,,FALSE
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,4f957d8d-0ee7-4a7d-b134-d7245784ad61,mitsubishi gas turbo hatchback,,,,FALSE
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,0eb87687-5c13-4245-951e-13c44dc67c9b,mitsubishi gas turbo hatchback,,,,FALSE
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,073aa955-f3e4-4c85-bede-f25453d765b1,mitsubishi gas std hatchback,,,,FALSE
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12629,886f6ac5-39d8-4170-be7d-59c66a154334,mitsubishi gas turbo hatchback,,,,FALSE
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14869,1a9143af-0749-42ac-9e05-420f69a9c79f,mitsubishi gas turbo hatchback,,,,FALSE
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14489,077788bc-be68-42de-a163-f2592ff0ef96,mitsubishi gas turbo hatchback,,,,FALSE
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,5fa7b009-7984-4f26-852b-e5ec9fd5b130,mitsubishi gas std sedan,,,,FALSE
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,4f014ead-f7de-459d-a015-c068b3ddda91,mitsubishi gas std sedan,,,,FALSE
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,656b0c55-9394-4ace-b9d5-de3d94eaf8b3,mitsubishi gas turbo sedan,,,,FALSE
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,c2c118f3-f40a-4a28-9620-42d5df45b5bb,mitsubishi gas std sedan,,,,FALSE
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,c2a83507-4c6f-4ab1-9dc8-1ea37a626c1f,nissan gas std sedan,,,,FALSE
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,2b3f59b7-0265-4a28-acde-e58038ff9bd1,nissan diesel std sedan,,,,FALSE
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,e86e67c6-d9b2-4021-90c1-03a29a2a5490,nissan gas std sedan,,,,FALSE
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,787bc0f7-994b-40a7-9728-40919afddc20,nissan gas std sedan,,,,FALSE
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,fa171f40-db92-4d86-8aa9-82ec87da9ac5,nissan gas std wagon,,,,FALSE
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,180245e5-96bf-4049-b52d-238d6e6fcc74,nissan gas std sedan,,,,FALSE
1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,67beee56-84f1-4448-aacd-71d26e1e1ba1,nissan gas std hatchback,,,,FALSE
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,8823c8b0-c054-4992-8713-33a2607ec8e9,nissan gas std sedan,,,,FALSE
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,1d1f868f-2c9a-4f57-b863-4ab2ae584d5d,nissan gas std wagon,,,,FALSE
2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,be4a5f0e-9b35-4131-b084-33a39325b958,nissan gas std hardtop,,,,FALSE
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,3c60edfc-9bc3-461b-8ff7-6a1a9c98acd1,nissan gas std hatchback,,,,FALSE
0,106,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,88fbae65-08a5-4564-8930-af7545ff3c97,nissan gas std sedan,,,,FALSE
0,128,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499,1e155578-785f-4bdc-ac42-9d158c11a9df,nissan gas std sedan,,,,FALSE
0,108,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,14399,ab7fff36-cbb9-4def-9619-9ab8eda5ca83,nissan gas std wagon,,,,FALSE
0,108,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499,131f2854-6f02-4aae-9925-653b7aa2f0f1,nissan gas std sedan,,,,FALSE
3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,17199,b97f1477-3182-4479-abe7-2f86160a3569,nissan gas std hatchback,,,,FALSE
3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,c68b76f9-7ae6-4483-9e10-c9ab4116b624,nissan gas turbo hatchback,,,,FALSE
